Date,Day,Time,Order ID,Table Number,Item Name,Category,Quantity,Unit Price,Total Sale,Payment Method,Server Name,Customer Type,Dine Type
2024-05-01,Wednesday,04:56 PM,ORD1024,4,French Fries,Side,1,4.5,4.5,Online,Diana,Returning,Takeaway
2024-04-15,Monday,05:58 PM,ORD1025,2,Grilled Chicken,Main,1,12.99,12.99,Card,Carlos,New,Dine-in
2024-02-19,Monday,01:14 PM,ORD1026,14,Ice Cream,Dessert,2,3.99,7.98,Cash,Carlos,Returning,Dine-in
2024-01-20,Saturday,05:33 PM,ORD1027,18,Cheeseburger,Main,1,10.49,10.49,Cash,Alice,New,Dine-in
2024-04-14,Sunday,06:17 PM,ORD1028,13,Ice Cream,Dessert,2,3.99,7.98,Cash,Bob,Returning,Dine-in
2024-04-09,Tuesday,02:31 PM,ORD1029,14,Ice Cream,Dessert,3,3.99,11.97,Online,Diana,New,Dine-in
2024-03-16,Saturday,01:42 PM,ORD1030,18,Grilled Chicken,Main,5,12.99,64.95,Cash,Carlos,New,Dine-in
2024-05-29,Wednesday,06:08 PM,ORD1031,17,Caesar Salad,Side,1,6.99,6.99,Cash,Bob,New,Delivery
2024-01-18,Thursday,09:31 PM,ORD1032,4,French Fries,Side,4,4.5,18.0,Online,Bob,New,Delivery
2024-01-21,Sunday,05:09 PM,ORD1033,7,Iced Tea,Drink,3,2.79,8.37,Online,Carlos,New,Takeaway
2024-04-11,Thursday,12:14 PM,ORD1034,11,Lemonade,Drink,4,2.99,11.96,Cash,Alice,Returning,Delivery
2024-05-24,Friday,11:42 AM,ORD1035,7,Cheeseburger,Main,5,10.49,52.45,Online,Carlos,New,Takeaway
2024-01-18,Thursday,02:10 PM,ORD1036,6,Iced Tea,Drink,3,2.79,8.37,Card,Carlos,New,Delivery
2024-05-21,Tuesday,03:06 PM,ORD1037,9,Cheeseburger,Main,2,10.49,20.98,Cash,Alice,New,Takeaway
2024-03-13,Wednesday,08:19 PM,ORD1038,7,French Fries,Side,3,4.5,13.5,Online,Carlos,Returning,Takeaway
2024-01-14,Sunday,11:34 AM,ORD1039,2,Chocolate Cake,Dessert,3,5.99,17.97,Cash,Carlos,New,Delivery
2024-03-08,Friday,12:45 PM,ORD1040,14,Ice Cream,Dessert,5,3.99,19.95,Online,Alice,New,Dine-in
2024-06-25,Tuesday,12:32 PM,ORD1041,19,Grilled Chicken,Main,3,12.99,38.97,Online,Bob,Returning,Dine-in
2024-01-11,Thursday,03:15 PM,ORD1042,12,Iced Tea,Drink,1,2.79,2.79,Cash,Bob,New,Takeaway
2024-05-23,Thursday,04:56 PM,ORD1043,6,Caesar Salad,Side,2,6.99,13.98,Cash,Diana,New,Dine-in
2024-03-26,Tuesday,05:01 PM,ORD1044,6,French Fries,Side,3,4.5,13.5,Online,Alice,Returning,Dine-in
2024-04-30,Tuesday,01:47 PM,ORD1045,12,French Fries,Side,4,4.5,18.0,Card,Bob,New,Dine-in
2024-06-17,Monday,01:17 PM,ORD1046,9,Chocolate Cake,Dessert,3,5.99,17.97,Cash,Carlos,Returning,Delivery
2024-05-10,Friday,04:49 PM,ORD1047,4,Iced Tea,Drink,1,2.79,2.79,Card,Bob,Returning,Dine-in
2024-01-28,Sunday,08:10 PM,ORD1048,11,Chocolate Cake,Dessert,3,5.99,17.97,Card,Alice,Returning,Delivery
2024-02-18,Sunday,02:20 PM,ORD1049,1,Grilled Chicken,Main,4,12.99,51.96,Online,Bob,Returning,Takeaway
2024-01-18,Thursday,09:20 PM,ORD1050,11,Iced Tea,Drink,5,2.79,13.95,Online,Alice,Returning,Delivery
2024-03-20,Wednesday,09:22 PM,ORD1051,13,Chocolate Cake,Dessert,3,5.99,17.97,Online,Carlos,New,Dine-in
2024-04-17,Wednesday,09:20 PM,ORD1052,20,Chocolate Cake,Dessert,2,5.99,11.98,Online,Carlos,Returning,Delivery
2024-01-01,Monday,03:11 PM,ORD1053,14,Lemonade,Drink,2,2.99,5.98,Online,Carlos,Returning,Takeaway
2024-04-23,Tuesday,09:31 PM,ORD1054,16,French Fries,Side,5,4.5,22.5,Online,Bob,New,Takeaway
2024-05-11,Saturday,09:19 PM,ORD1055,8,Iced Tea,Drink,1,2.79,2.79,Online,Carlos,New,Dine-in
2024-02-07,Wednesday,10:25 AM,ORD1056,16,Grilled Chicken,Main,2,12.99,25.98,Online,Alice,Returning,Takeaway
2024-06-10,Monday,07:49 PM,ORD1057,16,French Fries,Side,4,4.5,18.0,Card,Bob,New,Delivery
2024-06-25,Tuesday,10:05 AM,ORD1058,8,Cheeseburger,Main,4,10.49,41.96,Cash,Diana,New,Delivery
2024-03-04,Monday,12:04 PM,ORD1059,15,Ice Cream,Dessert,2,3.99,7.98,Online,Carlos,Returning,Delivery
2024-05-09,Thursday,05:16 PM,ORD1060,16,Ice Cream,Dessert,2,3.99,7.98,Card,Carlos,New,Delivery
2024-03-11,Monday,06:53 PM,ORD1061,9,Ice Cream,Dessert,2,3.99,7.98,Card,Alice,Returning,Dine-in
2024-03-10,Sunday,03:43 PM,ORD1062,3,Iced Tea,Drink,5,2.79,13.95,Cash,Bob,New,Takeaway
2024-06-26,Wednesday,12:36 PM,ORD1063,14,French Fries,Side,1,4.5,4.5,Card,Carlos,Returning,Takeaway
2024-01-16,Tuesday,01:31 PM,ORD1064,19,Chocolate Cake,Dessert,4,5.99,23.96,Online,Alice,Returning,Takeaway
2024-01-02,Tuesday,04:00 PM,ORD1065,14,Lemonade,Drink,4,2.99,11.96,Online,Bob,Returning,Dine-in
2024-03-10,Sunday,05:26 PM,ORD1066,13,Ice Cream,Dessert,1,3.99,3.99,Card,Diana,New,Takeaway
2024-02-02,Friday,08:37 PM,ORD1067,19,Grilled Chicken,Main,4,12.99,51.96,Online,Alice,New,Delivery
2024-04-19,Friday,12:18 PM,ORD1068,2,Ice Cream,Dessert,2,3.99,7.98,Card,Diana,Returning,Dine-in
2024-04-26,Friday,03:34 PM,ORD1069,9,Iced Tea,Drink,4,2.79,11.16,Card,Carlos,New,Takeaway
2024-01-05,Friday,07:12 PM,ORD1070,8,Grilled Chicken,Main,3,12.99,38.97,Online,Alice,New,Dine-in
2024-03-04,Monday,01:24 PM,ORD1071,5,Grilled Chicken,Main,5,12.99,64.95,Cash,Bob,Returning,Delivery
2024-01-30,Tuesday,07:37 PM,ORD1072,9,French Fries,Side,4,4.5,18.0,Card,Bob,New,Dine-in
2024-03-20,Wednesday,11:50 AM,ORD1073,19,Grilled Chicken,Main,3,12.99,38.97,Online,Diana,Returning,Delivery
2024-02-20,Tuesday,11:17 AM,ORD1074,10,French Fries,Side,1,4.5,4.5,Online,Alice,New,Takeaway
2024-05-16,Thursday,05:18 PM,ORD1075,17,Iced Tea,Drink,1,2.79,2.79,Online,Carlos,New,Takeaway
2024-05-05,Sunday,11:48 AM,ORD1076,15,Chocolate Cake,Dessert,3,5.99,17.97,Online,Bob,Returning,Dine-in
2024-05-13,Monday,09:06 PM,ORD1077,18,Lemonade,Drink,5,2.99,14.95,Card,Diana,Returning,Delivery
2024-05-31,Friday,02:34 PM,ORD1078,3,Iced Tea,Drink,2,2.79,5.58,Card,Diana,New,Takeaway
2024-05-25,Saturday,08:24 PM,ORD1079,1,Chocolate Cake,Dessert,3,5.99,17.97,Card,Carlos,New,Takeaway
2024-02-24,Saturday,04:03 PM,ORD1080,9,Lemonade,Drink,3,2.99,8.97,Online,Carlos,New,Delivery
2024-02-18,Sunday,11:27 AM,ORD1081,16,French Fries,Side,4,4.5,18.0,Online,Bob,Returning,Delivery
2024-05-05,Sunday,05:38 PM,ORD1082,10,Grilled Chicken,Main,1,12.99,12.99,Cash,Diana,New,Takeaway
2024-06-18,Tuesday,07:55 PM,ORD1083,18,Iced Tea,Drink,4,2.79,11.16,Online,Carlos,Returning,Delivery
2024-05-20,Monday,03:38 PM,ORD1084,9,Iced Tea,Drink,4,2.79,11.16,Card,Carlos,New,Dine-in
2024-02-19,Monday,03:23 PM,ORD1085,6,Cheeseburger,Main,5,10.49,52.45,Cash,Bob,Returning,Takeaway
2024-05-30,Thursday,06:57 PM,ORD1086,7,Lemonade,Drink,1,2.99,2.99,Card,Bob,Returning,Dine-in
2024-03-18,Monday,10:14 AM,ORD1087,2,Caesar Salad,Side,3,6.99,20.97,Cash,Carlos,New,Delivery
2024-05-05,Sunday,11:45 AM,ORD1088,10,Grilled Chicken,Main,5,12.99,64.95,Card,Diana,Returning,Takeaway
2024-02-17,Saturday,10:52 AM,ORD1089,4,Lemonade,Drink,4,2.99,11.96,Cash,Diana,Returning,Dine-in
2024-05-27,Monday,08:44 PM,ORD1090,5,Grilled Chicken,Main,2,12.99,25.98,Online,Carlos,New,Dine-in
2024-01-31,Wednesday,07:31 PM,ORD1091,20,Chocolate Cake,Dessert,5,5.99,29.95,Online,Bob,Returning,Takeaway
2024-04-23,Tuesday,03:04 PM,ORD1092,19,Chocolate Cake,Dessert,3,5.99,17.97,Online,Alice,New,Dine-in
2024-06-09,Sunday,01:36 PM,ORD1093,6,Lemonade,Drink,1,2.99,2.99,Cash,Bob,New,Dine-in
2024-01-01,Monday,04:58 PM,ORD1094,16,Ice Cream,Dessert,5,3.99,19.95,Card,Alice,New,Takeaway
2024-06-29,Saturday,02:49 PM,ORD1095,8,Ice Cream,Dessert,1,3.99,3.99,Card,Bob,Returning,Dine-in
2024-05-19,Sunday,01:50 PM,ORD1096,5,Caesar Salad,Side,3,6.99,20.97,Cash,Alice,New,Takeaway
2024-06-01,Saturday,07:42 PM,ORD1097,4,Lemonade,Drink,4,2.99,11.96,Card,Carlos,Returning,Takeaway
2024-05-08,Wednesday,07:12 PM,ORD1098,3,Ice Cream,Dessert,4,3.99,15.96,Online,Alice,Returning,Delivery
2024-03-23,Saturday,08:18 PM,ORD1099,3,Lemonade,Drink,1,2.99,2.99,Cash,Alice,Returning,Delivery
2024-01-11,Thursday,12:59 PM,ORD1100,15,Ice Cream,Dessert,5,3.99,19.95,Card,Bob,Returning,Delivery
2024-05-05,Sunday,11:33 AM,ORD1101,14,Ice Cream,Dessert,3,3.99,11.97,Card,Carlos,New,Dine-in
2024-03-25,Monday,05:01 PM,ORD1102,13,Ice Cream,Dessert,3,3.99,11.97,Online,Alice,Returning,Dine-in
2024-03-21,Thursday,02:18 PM,ORD1103,13,Iced Tea,Drink,1,2.79,2.79,Online,Alice,Returning,Takeaway
2024-01-14,Sunday,01:12 PM,ORD1104,16,Iced Tea,Drink,5,2.79,13.95,Online,Diana,New,Dine-in
2024-03-09,Saturday,07:22 PM,ORD1105,15,Caesar Salad,Side,3,6.99,20.97,Online,Diana,New,Dine-in
2024-06-10,Monday,08:23 PM,ORD1106,10,French Fries,Side,2,4.5,9.0,Online,Alice,Returning,Dine-in
2024-02-27,Tuesday,11:56 AM,ORD1107,5,Ice Cream,Dessert,1,3.99,3.99,Card,Carlos,Returning,Takeaway
2024-05-03,Friday,06:03 PM,ORD1108,18,French Fries,Side,4,4.5,18.0,Cash,Diana,New,Delivery
2024-05-10,Friday,12:19 PM,ORD1109,14,Cheeseburger,Main,3,10.49,31.47,Card,Carlos,New,Takeaway
2024-03-17,Sunday,08:01 PM,ORD1110,15,Ice Cream,Dessert,2,3.99,7.98,Online,Diana,Returning,Takeaway
2024-05-21,Tuesday,07:16 PM,ORD1111,11,Chocolate Cake,Dessert,4,5.99,23.96,Cash,Bob,Returning,Dine-in
2024-04-15,Monday,10:44 AM,ORD1112,13,Iced Tea,Drink,4,2.79,11.16,Card,Bob,Returning,Dine-in
2024-02-02,Friday,06:34 PM,ORD1113,15,Iced Tea,Drink,1,2.79,2.79,Cash,Diana,New,Delivery
2024-02-06,Tuesday,04:59 PM,ORD1114,16,Caesar Salad,Side,1,6.99,6.99,Card,Carlos,Returning,Delivery
2024-01-21,Sunday,03:36 PM,ORD1115,16,Chocolate Cake,Dessert,3,5.99,17.97,Online,Alice,New,Dine-in
2024-06-10,Monday,09:40 PM,ORD1116,3,Lemonade,Drink,2,2.99,5.98,Card,Alice,New,Takeaway
2024-02-12,Monday,09:50 PM,ORD1117,2,Lemonade,Drink,1,2.99,2.99,Card,Alice,Returning,Takeaway
2024-04-05,Friday,05:21 PM,ORD1118,17,Caesar Salad,Side,2,6.99,13.98,Card,Bob,New,Dine-in
2024-01-21,Sunday,08:24 PM,ORD1119,8,Chocolate Cake,Dessert,5,5.99,29.95,Card,Bob,New,Takeaway
2024-06-12,Wednesday,02:20 PM,ORD1120,1,Ice Cream,Dessert,3,3.99,11.97,Card,Carlos,New,Dine-in
2024-04-23,Tuesday,03:53 PM,ORD1121,9,Lemonade,Drink,4,2.99,11.96,Card,Carlos,New,Takeaway
2024-05-03,Friday,11:49 AM,ORD1122,19,French Fries,Side,4,4.5,18.0,Card,Carlos,Returning,Dine-in
2024-06-17,Monday,04:45 PM,ORD1123,19,Lemonade,Drink,1,2.99,2.99,Online,Alice,Returning,Takeaway
2024-02-28,Wednesday,08:21 PM,ORD1124,7,Iced Tea,Drink,2,2.79,5.58,Online,Carlos,New,Delivery
2024-01-25,Thursday,08:42 PM,ORD1125,15,Grilled Chicken,Main,3,12.99,38.97,Cash,Carlos,New,Dine-in
2024-03-16,Saturday,03:34 PM,ORD1126,7,Chocolate Cake,Dessert,2,5.99,11.98,Cash,Carlos,Returning,Dine-in
2024-03-06,Wednesday,06:13 PM,ORD1127,4,Lemonade,Drink,3,2.99,8.97,Card,Alice,New,Dine-in
2024-06-22,Saturday,09:30 PM,ORD1128,12,Chocolate Cake,Dessert,5,5.99,29.95,Cash,Diana,New,Takeaway
2024-05-17,Friday,12:06 PM,ORD1129,9,Ice Cream,Dessert,3,3.99,11.97,Online,Diana,Returning,Dine-in
2024-06-21,Friday,01:59 PM,ORD1130,20,Ice Cream,Dessert,1,3.99,3.99,Online,Carlos,New,Delivery
2024-01-17,Wednesday,08:50 PM,ORD1131,14,Ice Cream,Dessert,3,3.99,11.97,Cash,Bob,New,Dine-in
2024-03-18,Monday,06:24 PM,ORD1132,8,Cheeseburger,Main,1,10.49,10.49,Online,Bob,Returning,Takeaway
2024-04-04,Thursday,09:26 PM,ORD1133,5,Chocolate Cake,Dessert,5,5.99,29.95,Card,Alice,Returning,Delivery
2024-04-14,Sunday,02:46 PM,ORD1134,7,Grilled Chicken,Main,3,12.99,38.97,Card,Diana,New,Takeaway
2024-01-26,Friday,09:42 PM,ORD1135,12,Iced Tea,Drink,5,2.79,13.95,Cash,Diana,Returning,Dine-in
2024-02-01,Thursday,05:45 PM,ORD1136,20,Cheeseburger,Main,2,10.49,20.98,Cash,Alice,Returning,Dine-in
2024-02-02,Friday,07:38 PM,ORD1137,18,French Fries,Side,1,4.5,4.5,Cash,Bob,New,Takeaway
2024-02-07,Wednesday,08:10 PM,ORD1138,5,Grilled Chicken,Main,3,12.99,38.97,Cash,Carlos,New,Dine-in
2024-06-18,Tuesday,10:26 AM,ORD1139,12,Caesar Salad,Side,1,6.99,6.99,Cash,Carlos,New,Dine-in
2024-03-08,Friday,10:53 AM,ORD1140,17,Caesar Salad,Side,4,6.99,27.96,Cash,Alice,Returning,Takeaway
2024-04-02,Tuesday,06:45 PM,ORD1141,17,Cheeseburger,Main,4,10.49,41.96,Cash,Alice,Returning,Takeaway
2024-06-13,Thursday,10:31 AM,ORD1142,13,Grilled Chicken,Main,4,12.99,51.96,Card,Alice,Returning,Delivery
2024-04-23,Tuesday,11:15 AM,ORD1143,20,Cheeseburger,Main,3,10.49,31.47,Cash,Alice,New,Takeaway
2024-06-08,Saturday,08:48 PM,ORD1144,20,Iced Tea,Drink,4,2.79,11.16,Online,Carlos,Returning,Delivery
2024-06-03,Monday,05:20 PM,ORD1145,18,Cheeseburger,Main,1,10.49,10.49,Online,Bob,Returning,Takeaway
2024-02-28,Wednesday,05:03 PM,ORD1146,13,Iced Tea,Drink,4,2.79,11.16,Card,Alice,Returning,Takeaway
2024-03-21,Thursday,09:21 PM,ORD1147,5,Lemonade,Drink,3,2.99,8.97,Online,Diana,New,Dine-in
2024-01-22,Monday,11:35 AM,ORD1148,12,Chocolate Cake,Dessert,1,5.99,5.99,Cash,Alice,Returning,Delivery
2024-02-01,Thursday,05:00 PM,ORD1149,2,Iced Tea,Drink,4,2.79,11.16,Card,Carlos,Returning,Dine-in
2024-05-27,Monday,06:39 PM,ORD1150,16,French Fries,Side,2,4.5,9.0,Cash,Alice,Returning,Delivery
2024-04-04,Thursday,11:57 AM,ORD1151,8,Lemonade,Drink,5,2.99,14.95,Card,Alice,Returning,Dine-in
2024-02-16,Friday,02:39 PM,ORD1152,12,Lemonade,Drink,3,2.99,8.97,Cash,Bob,New,Delivery
2024-06-17,Monday,04:50 PM,ORD1153,1,Cheeseburger,Main,2,10.49,20.98,Cash,Bob,Returning,Takeaway
2024-04-26,Friday,03:49 PM,ORD1154,10,Caesar Salad,Side,3,6.99,20.97,Online,Carlos,New,Dine-in
2024-02-09,Friday,12:41 PM,ORD1155,9,Grilled Chicken,Main,1,12.99,12.99,Card,Diana,Returning,Delivery
2024-04-23,Tuesday,05:04 PM,ORD1156,17,Lemonade,Drink,2,2.99,5.98,Cash,Carlos,Returning,Dine-in
2024-03-13,Wednesday,09:34 PM,ORD1157,10,Ice Cream,Dessert,5,3.99,19.95,Cash,Bob,Returning,Delivery
2024-01-15,Monday,10:07 AM,ORD1158,7,French Fries,Side,3,4.5,13.5,Cash,Carlos,Returning,Takeaway
2024-01-31,Wednesday,10:07 AM,ORD1159,6,Ice Cream,Dessert,4,3.99,15.96,Cash,Diana,New,Delivery
2024-05-23,Thursday,09:24 PM,ORD1160,13,Iced Tea,Drink,1,2.79,2.79,Online,Alice,Returning,Dine-in
2024-04-27,Saturday,11:19 AM,ORD1161,14,Iced Tea,Drink,5,2.79,13.95,Online,Diana,Returning,Takeaway
2024-01-30,Tuesday,04:54 PM,ORD1162,6,Grilled Chicken,Main,3,12.99,38.97,Online,Diana,Returning,Dine-in
2024-04-21,Sunday,11:48 AM,ORD1163,19,French Fries,Side,4,4.5,18.0,Card,Alice,Returning,Takeaway
2024-03-27,Wednesday,01:46 PM,ORD1164,3,Iced Tea,Drink,2,2.79,5.58,Online,Alice,New,Takeaway
2024-03-30,Saturday,09:00 PM,ORD1165,4,Caesar Salad,Side,2,6.99,13.98,Cash,Carlos,New,Dine-in
2024-06-03,Monday,12:36 PM,ORD1166,16,Cheeseburger,Main,2,10.49,20.98,Card,Diana,Returning,Delivery
2024-03-21,Thursday,12:34 PM,ORD1167,16,Ice Cream,Dessert,1,3.99,3.99,Card,Carlos,Returning,Delivery
2024-01-15,Monday,04:00 PM,ORD1168,15,Cheeseburger,Main,3,10.49,31.47,Card,Alice,New,Takeaway
2024-03-14,Thursday,11:18 AM,ORD1169,20,Cheeseburger,Main,5,10.49,52.45,Online,Diana,Returning,Delivery
2024-05-21,Tuesday,10:42 AM,ORD1170,7,Ice Cream,Dessert,5,3.99,19.95,Card,Diana,New,Dine-in
2024-04-25,Thursday,11:45 AM,ORD1171,17,Iced Tea,Drink,1,2.79,2.79,Online,Bob,New,Dine-in
2024-04-22,Monday,05:29 PM,ORD1172,12,Caesar Salad,Side,3,6.99,20.97,Card,Diana,Returning,Takeaway
2024-06-22,Saturday,08:12 PM,ORD1173,3,Grilled Chicken,Main,3,12.99,38.97,Card,Alice,Returning,Takeaway
2024-03-05,Tuesday,09:12 PM,ORD1174,3,Caesar Salad,Side,3,6.99,20.97,Online,Bob,Returning,Takeaway
2024-06-16,Sunday,09:55 PM,ORD1175,20,Chocolate Cake,Dessert,2,5.99,11.98,Online,Alice,Returning,Delivery
2024-04-06,Saturday,08:58 PM,ORD1176,17,Iced Tea,Drink,2,2.79,5.58,Cash,Diana,Returning,Dine-in
2024-04-02,Tuesday,03:16 PM,ORD1177,11,Caesar Salad,Side,2,6.99,13.98,Card,Bob,New,Dine-in
2024-02-09,Friday,11:19 AM,ORD1178,17,Lemonade,Drink,1,2.99,2.99,Online,Alice,Returning,Delivery
2024-02-03,Saturday,08:11 PM,ORD1179,6,Chocolate Cake,Dessert,2,5.99,11.98,Cash,Bob,Returning,Dine-in
2024-04-15,Monday,04:13 PM,ORD1180,20,French Fries,Side,4,4.5,18.0,Card,Diana,New,Delivery
2024-03-02,Saturday,03:16 PM,ORD1181,12,Ice Cream,Dessert,2,3.99,7.98,Online,Diana,Returning,Takeaway
2024-04-07,Sunday,06:34 PM,ORD1182,7,Chocolate Cake,Dessert,2,5.99,11.98,Online,Bob,Returning,Dine-in
2024-06-13,Thursday,06:12 PM,ORD1183,4,Iced Tea,Drink,5,2.79,13.95,Online,Alice,Returning,Dine-in
2024-02-11,Sunday,02:39 PM,ORD1184,5,Ice Cream,Dessert,5,3.99,19.95,Card,Alice,New,Takeaway
2024-03-30,Saturday,10:27 AM,ORD1185,13,Chocolate Cake,Dessert,1,5.99,5.99,Online,Carlos,New,Takeaway
2024-01-21,Sunday,04:23 PM,ORD1186,11,French Fries,Side,1,4.5,4.5,Cash,Carlos,New,Dine-in
2024-01-10,Wednesday,02:53 PM,ORD1187,16,Ice Cream,Dessert,2,3.99,7.98,Card,Alice,New,Dine-in
2024-03-06,Wednesday,01:40 PM,ORD1188,20,Caesar Salad,Side,5,6.99,34.95,Online,Diana,New,Takeaway
2024-03-01,Friday,03:08 PM,ORD1189,8,Cheeseburger,Main,1,10.49,10.49,Card,Diana,New,Dine-in
2024-05-07,Tuesday,08:11 PM,ORD1190,19,Grilled Chicken,Main,5,12.99,64.95,Cash,Bob,Returning,Takeaway
2024-01-01,Monday,08:29 PM,ORD1191,19,Iced Tea,Drink,2,2.79,5.58,Card,Bob,New,Delivery
2024-04-02,Tuesday,11:09 AM,ORD1192,16,Grilled Chicken,Main,4,12.99,51.96,Cash,Diana,Returning,Takeaway
2024-01-05,Friday,04:05 PM,ORD1193,8,Cheeseburger,Main,3,10.49,31.47,Online,Alice,Returning,Dine-in
2024-01-12,Friday,04:00 PM,ORD1194,15,Iced Tea,Drink,2,2.79,5.58,Online,Diana,New,Dine-in
2024-01-17,Wednesday,05:48 PM,ORD1195,7,Grilled Chicken,Main,3,12.99,38.97,Cash,Bob,New,Takeaway
2024-03-20,Wednesday,06:47 PM,ORD1196,16,Chocolate Cake,Dessert,5,5.99,29.95,Card,Alice,New,Takeaway
2024-04-01,Monday,10:48 AM,ORD1197,4,Iced Tea,Drink,3,2.79,8.37,Card,Diana,Returning,Delivery
2024-04-22,Monday,04:35 PM,ORD1198,16,Iced Tea,Drink,2,2.79,5.58,Online,Diana,Returning,Delivery
2024-03-09,Saturday,11:24 AM,ORD1199,14,Chocolate Cake,Dessert,1,5.99,5.99,Online,Bob,Returning,Takeaway
2024-05-11,Saturday,02:44 PM,ORD1200,16,Mozzarella Sticks,Side,4,4.99,19.96,Card,Alice,New,Delivery
2024-04-27,Saturday,08:50 PM,ORD1201,18,Mozzarella Sticks,Side,1,4.99,4.99,Card,Bob,Returning,Dine-in
2024-05-06,Monday,02:34 PM,ORD1202,11,Garlic Bread,Side,3,3.49,10.47,Online,Bob,Returning,Takeaway
2024-06-23,Sunday,10:49 AM,ORD1203,15,Cheeseburger,Main,1,10.49,10.49,Cash,Alice,New,Takeaway
2024-04-26,Friday,10:00 AM,ORD1204,5,Coffee,Drink,2,2.5,5.0,Online,Carlos,New,Takeaway
2024-01-24,Wednesday,09:10 PM,ORD1205,3,Mozzarella Sticks,Side,3,4.99,14.97,Card,Bob,New,Takeaway
2024-06-09,Sunday,03:12 PM,ORD1206,3,Ice Cream,Dessert,4,3.99,15.96,Online,Alice,New,Dine-in
2024-05-02,Thursday,11:19 AM,ORD1207,8,Lemonade,Drink,5,2.99,14.95,Online,Diana,New,Dine-in
2024-06-27,Thursday,03:51 PM,ORD1208,5,French Fries,Side,4,4.5,18.0,Card,Alice,New,Takeaway
2024-01-23,Tuesday,11:44 AM,ORD1209,12,French Fries,Side,3,4.5,13.5,Card,Bob,Returning,Dine-in
2024-06-13,Thursday,09:33 PM,ORD1210,17,Lemonade,Drink,1,2.99,2.99,Online,Alice,New,Takeaway
2024-03-30,Saturday,01:38 PM,ORD1211,20,Lemonade,Drink,4,2.99,11.96,Online,Diana,New,Dine-in
2024-01-26,Friday,12:23 PM,ORD1212,13,French Fries,Side,5,4.5,22.5,Card,Diana,Returning,Dine-in
2024-03-04,Monday,02:43 PM,ORD1213,18,Caesar Salad,Side,2,6.99,13.98,Online,Carlos,New,Delivery
2024-03-18,Monday,01:30 PM,ORD1214,17,Fish Tacos,Main,5,12.59,62.95,Cash,Diana,Returning,Delivery
